,Sub,Ses,Run,Awake,External,Future,Past,Other,Valence,Image,Word,Detail
0,1001,1,1,"['8', '8', '8', '8', '8', '8', '8', '8']","['7', '8', '3', '2', '2', '3', '2', '2']","['2', '2', '1', '6', '8', '3', '7', '3']","['8', '3', '9', '3', '2', '8', '2', '3']","['3', '3', '7', '9', '2', '7', '2', '9']","['5', '5', '7', '5', '4', '7', '6', '3']","['4', '3', '8', '6', '3', '9', '4', '4']","['4', '4', '2', '8', '8', '1', '7', '4']","['8', '7', '7', '3', '8', '7', '3', '2']"
1,1001,1,2,"['8', '8', '8', '8', '8', '8', '8', '8']","['6', '3', '3', '2', '2', '2', '2', '2']","['3', '3', '2', '3', '4', '1', '7', '9']","['7', '7', '8', '7', '8', '9', '2', '1']","['8', '2', '2', '6', '7', '1', '4', '7']","['4', '4', '4', '8', '3', '5', '8', '8']","['7', '6', '8', '9', '3', '6', '9', '7']","['3', '3', '1', '1', '7', '3', '1', '3']","['8', '2', '4', '8', '6', '2', '4', '3']"
2,1002,1,1,"['8', '8', '7', '8', '8', '7', '7', '8']","['8', '5', '7', '2', '3', '7', '7', '8']","['2', '2', '7', '8', '7', '7', '7', '2']","['1', '2', '2', '7', '6', '1', '1', '2']","['5', '5', '5', '3', '3', '4', '4', '2']","['5', '3', '5', '5', '5', '6', '6', '4']","['7', '5', '5', '4', '6', '6', '4', '2']","['8', '5', '6', '6', '6', '6', '7', '7']","['3', '3', '4', '4', '4', '6', '4', '6']"
3,1002,1,2,"['8', '8', '9', '9', '9', '9', '9', '9']","['8', '6', '6', '9', '1', '2', '9', '9']","['3', '8', '8', '6', '1', '4', '5', '6']","['1', '1', '3', '2', '8', '2', '5', '5']","['8', '2', '3', '1', '6', '6', '4', '4']","['5', '6', '5', '3', '5', '6', '3', '4']","['3', '7', '7', '2', '8', '6', '5', '5']","['6', '7', '6', '2', '4', '6', '5', '5']","['4', '7', '7', '6', '6', '6', '5', '5']"
4,1003,1,1,"['6', '7', '6', '6', '7', '7', '7', '7']","['4', '7', '6', '7', '6', '3', '4', '8']","['3', '4', '4', '4', '6', '7', '5', '4']","['3', '6', '4', '6', '6', '6', '6', '6']","['2', '1', '3', '7', '5', '4', '6', '3']","['6', '4', '4', '5', '5', '5', '5', '4']","['4', '3', '3', '3', '2', '2', '2', '1']","['6', '7', '6', '7', '8', '9', '8', '6']","['1', '1', '1', '4', '6', '6', '7', '7']"
5,1003,1,2,"['6', '6', '7', '7', '7', '7', '7', '7']","['6', '6', '8', '8', '5', '7', '4', '4']","['4', '3', '4', '4', '6', '4', '3', '5']","['6', '6', '6', '7', '6', '5', '6', '5']","['5', '4', '4', '3', '3', '3', '7', '4']","['4', '5', '5', '5', '5', '5', '5', '5']","['4', '6', '5', '4', '4', '4', '3', '2']","['5', '7', '4', '7', '6', '6', '7', '6']","['4', '3', '4', '3', '6', '6', '4', '3']"
6,1003,2,1,"['4', '4', '5', '3', '3', '4', '3', '3']","['7', '5', '3', '4', '3', '6', '3', '3']","['3', '7', '6', '6', '4', '3', '3', '4']","['6', '4', '6', '6', '6', '7', '6', '6']","['6', '3', '6', '4', '6', '3', '3', '3']","['7', '7', '6', '6', '6', '6', '6', '6']","['7', '6', '4', '4', '6', '4', '3', '6']","['4', '4', '6', '6', '4', '4', '6', '4']","['4', '6', '4', '4', '2', '4', '2', '2']"
7,1003,2,2,"['5', '4', '4', '4', '4', '4', '6', '5']","['3', '6', '7', '6', '4', '4', '6', '4']","['4', '3', '4', '3', '3', '6', '4', '7']","['6', '3', '4', '7', '6', '6', '6', '6']","['5', '5', '5', '5', '7', '6', '6', '4']","['6', '5', '5', '5', '5', '5', '6', '6']","['3', '6', '4', '6', '6', '5', '6', '6']","['6', '4', '5', '4', '6', '6', '4', '6']","['3', '3', '3', '3', '3', '3', '2', '5']"
8,1005,1,1,"['8', '7', '7', '7', '8', '7', '7', '7']","['6', '2', '7', '7', '6', '4', '7', '2']","['6', '8', '2', '2', '7', '8', '9', '2']","['6', '2', '7', '2', '3', '1', '2', '7']","['3', '7', '6', '4', '3', '1', '7', '7']","['4', '7', '7', '7', '4', '4', '6', '6']","['1', '3', '2', '2', '1', '7', '3', '7']","['9', '7', '8', '8', '9', '3', '7', '4']","['6', '3', '3', '4', '4', '3', '7', '6']"
9,1005,1,2,"['8', '8', '7', '8', '8', '8', '7', '5']","['6', '6', '3', '2', '2', '1', '3', '2']","['3', '2', '1', '2', '1', '7', '1', '8']","['7', '7', '7', '8', '2', '3', '1', '2']","['6', '7', '8', '8', '3', '4', '6', '2']","['3', '3', '6', '4', '7', '6', '6', '3']","['3', '2', '7', '4', '2', '3', '2', '7']","['7', '8', '3', '6', '8', '7', '8', '2']","['6', '4', '6', '3', '6', '4', '6', '3']"
