subid,session,trial,Topics
1,1,1,3
1,1,2,
1,1,3,3
1,1,4,4
1,1,5,4
1,1,6,
1,1,7,3
1,1,8,6
1,1,9,3
1,1,10,3
1,1,11,3
1,1,12,
1,1,13,4
1,1,14,2
1,1,15,
1,1,16,4
2,1,1,9
2,1,2,
2,1,3,9
2,1,4,9
2,1,5,7
2,1,6,9
2,1,7,9
2,1,8,2
2,1,9,1
2,1,10,5
2,1,11,5
2,1,12,2
2,1,13,9
2,1,14,5
2,1,15,2
2,1,16,2
3,1,1,1
3,1,2,1
3,1,3,1
3,1,4,1
3,1,5,1
3,1,6,1
3,1,7,1
3,1,8,2
3,1,9,2
3,1,10,3
3,1,11,3
3,1,12,2
3,1,13,2
3,1,14,1
3,1,15,4
3,1,16,2
3,2,1,3
3,2,2,5
3,2,3,4
3,2,4,2
3,2,5,2
3,2,6,2
3,2,7,6
3,2,8,6
3,2,9,4
3,2,10,1
3,2,11,1
3,2,12,2
3,2,13,9
3,2,14,4
3,2,15,9
3,2,16,5
5,1,1,2
5,1,2,5
5,1,3,6
5,1,4,1
5,1,5,2
5,1,6,5
5,1,7,1
5,1,8,6
5,1,9,3
5,1,10,3
5,1,11,9
5,1,12,6
5,1,13,2
5,1,14,9
5,1,15,9
5,1,16,5
5,2,1,2
5,2,2,5
5,2,3,9
5,2,4,6
5,2,5,9
5,2,6,9
5,2,7,4
5,2,8,2
5,2,9,2
5,2,10,9
5,2,11,5
5,2,12,9
5,2,13,9
5,2,14,1
5,2,15,5
5,2,16,2
6,1,1,1
6,1,2,1
6,1,3,2
6,1,4,2
6,1,5,2
6,1,6,2
6,1,7,2
6,1,8,1
6,1,9,3
6,1,10,1
6,1,11,3
6,1,12,1
6,1,13,1
6,1,14,1
6,1,15,8
6,1,16,2
6,2,1,1
6,2,2,8
6,2,3,2
6,2,4,2
6,2,5,3
6,2,6,2
6,2,7,5
6,2,8,3
6,2,9,5
6,2,10,3
6,2,11,1
6,2,12,5
6,2,13,5
6,2,14,6
6,2,15,3
6,2,16,5
7,1,1,2
7,1,2,2
7,1,3,8
7,1,4,8
7,1,5,2
7,1,6,8
7,1,7,1
7,1,8,3
7,1,9,3
7,1,10,9
7,1,11,2
7,1,12,2
7,1,13,2
7,1,14,2
7,1,15,3
7,1,16,8
7,2,1,3
7,2,2,3
7,2,3,3
7,2,4,2
7,2,5,2
7,2,6,3
7,2,7,8
7,2,8,3
7,2,9,3
7,2,10,3
7,2,11,3
7,2,12,3
7,2,13,3
7,2,14,3
7,2,15,3
7,2,16,2
8,1,1,1
8,1,2,9
8,1,3,3
8,1,4,1
8,1,5,5
8,1,6,1
8,1,7,1
8,1,8,2
8,1,9,
8,1,10,
8,1,11,
8,1,12,
8,1,13,
8,1,14,
8,1,15,
8,1,16,
8,2,1,6
8,2,2,1
8,2,3,7
8,2,4,9
8,2,5,4
8,2,6,5
8,2,7,2
8,2,8,5
8,2,9,3
8,2,10,5
8,2,11,3
8,2,12,1
8,2,13,3
8,2,14,9
8,2,15,1
8,2,16,2
9,1,1,2
9,1,2,9
9,1,3,2
9,1,4,2
9,1,5,2
9,1,6,8
9,1,7,3
9,1,8,1
9,1,9,3
9,1,10,6
9,1,11,5
9,1,12,2
9,1,13,5
9,1,14,6
9,1,15,2
9,1,16,2
9,2,1,3
9,2,2,6
9,2,3,5
9,2,4,8
9,2,5,7
9,2,6,5
9,2,7,9
9,2,8,1
9,2,9,3
9,2,10,3
9,2,11,2
9,2,12,6
9,2,13,2
9,2,14,4
9,2,15,1
9,2,16,1
10,1,1,2
10,1,2,2
10,1,3,2
10,1,4,2
10,1,5,2
10,1,6,7
10,1,7,7
10,1,8,7
10,1,9,3
10,1,10,3
10,1,11,3
10,1,12,3
10,1,13,3
10,1,14,
10,1,15,2
10,1,16,3
10,2,1,2
10,2,2,3
10,2,3,2
10,2,4,2
10,2,5,2
10,2,6,2
10,2,7,
10,2,8,2
10,2,9,6
10,2,10,5
10,2,11,
10,2,12,2
10,2,13,2
10,2,14,5
10,2,15,
10,2,16,2
11,1,1,2
11,1,2,4
11,1,3,1
11,1,4,9
11,1,5,6
11,1,6,4
11,1,7,5
11,1,8,4
11,1,9,4
11,1,10,9
11,1,11,2
11,1,12,4
11,1,13,9
11,1,14,9
11,1,15,9
11,1,16,9
11,2,1,9
11,2,2,4
11,2,3,7
11,2,4,9
11,2,5,6
11,2,6,9
11,2,7,6
11,2,8,5
11,2,9,9
11,2,10,9
11,2,11,9
11,2,12,4
11,2,13,1
11,2,14,9
11,2,15,9
11,2,16,9
12,1,1,1
12,1,2,1
12,1,3,3
12,1,4,3
12,1,5,6
12,1,6,6
12,1,7,9
12,1,8,3
12,1,9,3
12,1,10,3
12,1,11,3
12,1,12,3
12,1,13,3
12,1,14,2
12,1,15,6
12,1,16,1
12,2,1,5
12,2,2,5
12,2,3,5
12,2,4,2
12,2,5,1
12,2,6,9
12,2,7,1
12,2,8,1
12,2,9,2
12,2,10,3
12,2,11,2
12,2,12,1
12,2,13,2
12,2,14,2
12,2,15,1
12,2,16,1
13,1,1,2
13,1,2,6
13,1,3,1
13,1,4,1
13,1,5,1
13,1,6,5
13,1,7,1
13,1,8,3
13,1,9,7
13,1,10,1
13,1,11,1
13,1,12,1
13,1,13,1
